11:53:40.092 -> X:  -176  	Y:  1248  	Z:  15696		X: -0.11 	Y: 0.75 	Z: 9.40 m/s^2 
11:53:40.366 -> X:  -128  	Y:  1184  	Z:  15712		X: -0.08 	Y: 0.71 	Z: 9.41 m/s^2 
11:53:40.604 -> X:  -112  	Y:  1200  	Z:  15616		X: -0.07 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:40.878 -> X:  -96  	Y:  1152  	Z:  15648		X: -0.06 	Y: 0.69 	Z: 9.37 m/s^2 
11:53:41.117 -> X:  -144  	Y:  1200  	Z:  15616		X: -0.09 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:41.391 -> X:  -80  	Y:  1232  	Z:  15648		X: -0.05 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:41.631 -> X:  -96  	Y:  1184  	Z:  15648		X: -0.06 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:41.902 -> X:  -96  	Y:  1216  	Z:  15632		X: -0.06 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:42.141 -> X:  -160  	Y:  1232  	Z:  15648		X: -0.10 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:42.413 -> X:  -96  	Y:  1200  	Z:  15712		X: -0.06 	Y: 0.72 	Z: 9.41 m/s^2 
11:53:42.654 -> X:  -64  	Y:  1152  	Z:  15664		X: -0.04 	Y: 0.69 	Z: 9.38 m/s^2 
11:53:42.898 -> X:  -96  	Y:  1296  	Z:  15888		X: -0.06 	Y: 0.78 	Z: 9.51 m/s^2 
11:53:43.174 -> X:  -144  	Y:  1328  	Z:  15584		X: -0.09 	Y: 0.80 	Z: 9.33 m/s^2 
11:53:43.414 -> X:  -112  	Y:  1184  	Z:  15680		X: -0.22 	Y: 0.73 	Z: 9.50 m/s^2 
11:53:43.687 -> X:  -288  	Y:  1136  	Z:  15632		X: -0.06 	Y: 0.68 	Z: 9.36 m/s^2 
11:53:43.926 -> X:  -80  	Y:  1216  	Z:  15568		X: -0.05 	Y: 0.73 	Z: 9.32 m/s^2 
11:53:44.203 -> X:  -96  	Y:  1152  	Z:  15584		X: -0.06 	Y: 0.69 	Z: 9.33 m/s^2 
11:53:44.443 -> X:  -112  	Y:  1200  	Z:  15632		X: -0.07 	Y: 0.72 	Z: 9.36 m/s^2 
11:53:44.682 -> X:  -64  	Y:  1248  	Z:  15712		X: -0.04 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:44.956 -> X:  -160  	Y:  1232  	Z:  15632		X: -0.10 	Y: 0.74 	Z: 9.36 m/s^2 
11:53:45.195 -> X:  -128  	Y:  1184  	Z:  15616		X: -0.08 	Y: 0.71 	Z: 9.35 m/s^2 
11:53:45.467 -> X:  -96  	Y:  1216  	Z:  15632		X: -0.06 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:45.711 -> X:  -112  	Y:  1232  	Z:  15616		X: -0.07 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:45.983 -> X:  -160  	Y:  1184  	Z:  15632		X: -0.10 	Y: 0.71 	Z: 9.36 m/s^2 
11:53:46.222 -> X:  -128  	Y:  1200  	Z:  15712		X: -0.08 	Y: 0.72 	Z: 9.41 m/s^2 
11:53:46.498 -> X:  -96  	Y:  1248  	Z:  15696		X: -0.06 	Y: 0.75 	Z: 9.40 m/s^2 
11:53:46.737 -> X:  -128  	Y:  1216  	Z:  15664		X: -0.08 	Y: 0.73 	Z: 9.38 m/s^2 
11:53:47.012 -> X:  -176  	Y:  1248  	Z:  15680		X: -0.11 	Y: 0.75 	Z: 9.39 m/s^2 
11:53:47.253 -> X:  -176  	Y:  1136  	Z:  15648		X: -0.14 	Y: 0.68 	Z: 9.37 m/s^2 
11:53:47.495 -> X:  -144  	Y:  1232  	Z:  15648		X: -0.09 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:47.767 -> X:  -128  	Y:  1264  	Z:  15680		X: -0.08 	Y: 0.76 	Z: 9.40 m/s^2 
11:53:48.007 -> X:  80  	Y:  1200  	Z:  15712		X: -0.09 	Y: 0.72 	Z: 9.41 m/s^2 
11:53:48.278 -> X:  -160  	Y:  1232  	Z:  15584		X: -0.10 	Y: 0.74 	Z: 9.33 m/s^2 
11:53:48.520 -> X:  -80  	Y:  1216  	Z:  15648		X: -0.05 	Y: 0.73 	Z: 9.37 m/s^2 
11:53:48.796 -> X:  -80  	Y:  1216  	Z:  15616		X: -0.05 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:49.033 -> X:  -144  	Y:  1216  	Z:  15632		X: -0.09 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:49.273 -> X:  -112  	Y:  1152  	Z:  15728		X: -0.07 	Y: 0.69 	Z: 9.42 m/s^2 
11:53:49.543 -> X:  -80  	Y:  1184  	Z:  15600		X: -0.05 	Y: 0.71 	Z: 9.34 m/s^2 
11:53:49.785 -> X:  -128  	Y:  1232  	Z:  15600		X: -0.08 	Y: 0.74 	Z: 9.34 m/s^2 
11:53:50.057 -> X:  -96  	Y:  1232  	Z:  15600		X: -0.06 	Y: 0.74 	Z: 9.34 m/s^2 
11:53:50.329 -> X:  -208  	Y:  1280  	Z:  15696		X: -0.12 	Y: 0.77 	Z: 9.40 m/s^2 
11:53:50.566 -> X:  -128  	Y:  1216  	Z:  15696		X: -0.08 	Y: 0.73 	Z: 9.40 m/s^2 
11:53:50.805 -> X:  -96  	Y:  1200  	Z:  15728		X: -0.06 	Y: 0.72 	Z: 9.42 m/s^2 
11:53:51.075 -> X:  -144  	Y:  1216  	Z:  15632		X: -0.09 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:51.349 -> X:  -160  	Y:  1216  	Z:  15632		X: -0.10 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:51.588 -> X:  -144  	Y:  1216  	Z:  15664		X: -0.03 	Y: 0.72 	Z: 9.50 m/s^2 
11:53:51.861 -> X:  -144  	Y:  1232  	Z:  15696		X: -0.09 	Y: 0.74 	Z: 9.40 m/s^2 
11:53:52.100 -> X:  -144  	Y:  1248  	Z:  15696		X: -0.09 	Y: 0.75 	Z: 9.40 m/s^2 
11:53:52.340 -> X:  -128  	Y:  1216  	Z:  15632		X: -0.08 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:52.615 -> X:  -160  	Y:  1216  	Z:  15712		X: -0.10 	Y: 0.73 	Z: 9.41 m/s^2 
11:53:52.853 -> X:  -128  	Y:  1280  	Z:  15632		X: -0.08 	Y: 0.77 	Z: 9.36 m/s^2 
11:53:53.127 -> X:  -208  	Y:  1216  	Z:  15648		X: -0.12 	Y: 0.73 	Z: 9.37 m/s^2 
11:53:53.369 -> X:  -192  	Y:  1248  	Z:  15728		X: -0.11 	Y: 0.75 	Z: 9.42 m/s^2 
11:53:53.644 -> X:  -144  	Y:  1248  	Z:  15616		X: -0.09 	Y: 0.75 	Z: 9.35 m/s^2 
11:53:53.881 -> X:  -112  	Y:  1216  	Z:  15680		X: -0.07 	Y: 0.73 	Z: 9.39 m/s^2 
11:53:54.122 -> X:  -128  	Y:  1232  	Z:  15568		X: -0.08 	Y: 0.74 	Z: 9.32 m/s^2 
11:53:54.397 -> X:  -96  	Y:  1200  	Z:  15664		X: -0.06 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:54.635 -> X:  -128  	Y:  1264  	Z:  15664		X: -0.08 	Y: 0.76 	Z: 9.38 m/s^2 
11:53:54.909 -> X:  -96  	Y:  1184  	Z:  15712		X: -0.06 	Y: 0.71 	Z: 9.41 m/s^2 
11:53:55.149 -> X:  -112  	Y:  1232  	Z:  15584		X: -0.07 	Y: 0.74 	Z: 9.33 m/s^2 
11:53:55.424 -> X:  -80  	Y:  1120  	Z:  15584		X: -0.05 	Y: 0.67 	Z: 9.33 m/s^2 
11:53:55.662 -> X:  -112  	Y:  1248  	Z:  15616		X: -0.07 	Y: 0.75 	Z: 9.35 m/s^2 
11:53:55.935 -> X:  -144  	Y:  1264  	Z:  15600		X: 0.04 	Y: 0.77 	Z: 9.09 m/s^2 
11:53:56.173 -> X:  -112  	Y:  1200  	Z:  15616		X: -0.07 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:56.444 -> X:  -96  	Y:  1216  	Z:  15680		X: -0.06 	Y: 0.73 	Z: 9.39 m/s^2 
