16:35:33.465 -> Raw sensor readings from photoresistor
16:35:45.146 -> Photoresistor Raw Output = 23
16:35:45.186 -> Photoresistor Raw Output = 24
16:35:45.227 -> Photoresistor Raw Output = 24
16:35:45.307 -> Photoresistor Raw Output = 26
16:35:45.347 -> Photoresistor Raw Output = 29
16:35:45.387 -> Photoresistor Raw Output = 34
16:35:45.427 -> Photoresistor Raw Output = 38
16:35:45.507 -> Photoresistor Raw Output = 58
16:35:45.547 -> Photoresistor Raw Output = 43
16:35:45.587 -> Photoresistor Raw Output = 44
16:35:45.627 -> Photoresistor Raw Output = 46
16:35:45.707 -> Photoresistor Raw Output = 46
16:35:45.747 -> Photoresistor Raw Output = 45
16:35:45.787 -> Photoresistor Raw Output = 45
16:35:45.822 -> Photoresistor Raw Output = 43
16:35:45.902 -> Photoresistor Raw Output = 41
16:35:45.942 -> Photoresistor Raw Output = 40
16:35:45.982 -> Photoresistor Raw Output = 39
16:35:46.022 -> Photoresistor Raw Output = 41
16:35:46.102 -> Photoresistor Raw Output = 41
16:35:46.142 -> Photoresistor Raw Output = 42
16:35:46.182 -> Photoresistor Raw Output = 43
16:35:46.262 -> Photoresistor Raw Output = 45
16:35:46.302 -> Photoresistor Raw Output = 47
16:35:46.342 -> Photoresistor Raw Output = 47
16:35:46.382 -> Photoresistor Raw Output = 47
16:35:46.462 -> Photoresistor Raw Output = 43
16:35:46.506 -> Photoresistor Raw Output = 39
16:35:46.546 -> Photoresistor Raw Output = 37
16:35:46.586 -> Photoresistor Raw Output = 36
16:35:46.626 -> Photoresistor Raw Output = 35
16:35:46.706 -> Photoresistor Raw Output = 34
16:35:46.742 -> Photoresistor Raw Output = 31
16:35:46.783 -> Photoresistor Raw Output = 29
16:35:46.863 -> Photoresistor Raw Output = 27
16:35:46.903 -> Photoresistor Raw Output = 25
16:35:46.943 -> Photoresistor Raw Output = 25
16:35:47.023 -> Photoresistor Raw Output = 27
16:35:47.063 -> Photoresistor Raw Output = 33
16:35:47.102 -> Photoresistor Raw Output = 87
16:35:47.143 -> Photoresistor Raw Output = 128
16:35:47.223 -> Photoresistor Raw Output = 153
16:35:47.263 -> Photoresistor Raw Output = 169
16:35:47.303 -> Photoresistor Raw Output = 198
16:35:47.343 -> Photoresistor Raw Output = 227
16:35:47.423 -> Photoresistor Raw Output = 235
16:35:47.463 -> Photoresistor Raw Output = 239
16:35:47.503 -> Photoresistor Raw Output = 243
16:35:47.542 -> Photoresistor Raw Output = 245
16:35:47.623 -> Photoresistor Raw Output = 246
16:35:47.663 -> Photoresistor Raw Output = 245
16:35:47.703 -> Photoresistor Raw Output = 243
16:35:47.742 -> Photoresistor Raw Output = 241
16:35:47.817 -> Photoresistor Raw Output = 240
16:35:47.857 -> Photoresistor Raw Output = 240
16:35:47.897 -> Photoresistor Raw Output = 240
16:35:47.977 -> Photoresistor Raw Output = 241
16:35:48.017 -> Photoresistor Raw Output = 243
16:35:48.057 -> Photoresistor Raw Output = 243
16:35:48.097 -> Photoresistor Raw Output = 243
16:35:48.177 -> Photoresistor Raw Output = 244
16:35:48.217 -> Photoresistor Raw Output = 244
16:35:48.257 -> Photoresistor Raw Output = 246
16:35:48.297 -> Photoresistor Raw Output = 247
16:35:48.377 -> Photoresistor Raw Output = 249
16:35:48.417 -> Photoresistor Raw Output = 250
16:35:48.457 -> Photoresistor Raw Output = 250
16:35:48.537 -> Photoresistor Raw Output = 250
16:35:48.577 -> Photoresistor Raw Output = 250
16:35:48.617 -> Photoresistor Raw Output = 250
16:35:48.657 -> Photoresistor Raw Output = 250
16:35:48.737 -> Photoresistor Raw Output = 250
16:35:48.777 -> Photoresistor Raw Output = 249
16:35:48.817 -> Photoresistor Raw Output = 249
16:35:48.857 -> Photoresistor Raw Output = 249
16:35:48.937 -> Photoresistor Raw Output = 249
16:35:48.977 -> Photoresistor Raw Output = 250
16:35:49.017 -> Photoresistor Raw Output = 251
16:35:49.057 -> Photoresistor Raw Output = 252
16:35:49.137 -> Photoresistor Raw Output = 252
16:35:49.177 -> Photoresistor Raw Output = 253
16:35:49.218 -> Photoresistor Raw Output = 253
16:35:49.258 -> Photoresistor Raw Output = 254
16:35:49.337 -> Photoresistor Raw Output = 253
16:35:49.377 -> Photoresistor Raw Output = 253
16:35:49.417 -> Photoresistor Raw Output = 252
16:35:49.457 -> Photoresistor Raw Output = 252
16:35:49.537 -> Photoresistor Raw Output = 252
16:35:49.577 -> Photoresistor Raw Output = 252
16:35:49.617 -> Photoresistor Raw Output = 252
16:35:49.697 -> Photoresistor Raw Output = 252
16:35:49.737 -> Photoresistor Raw Output = 252
16:35:49.777 -> Photoresistor Raw Output = 252
16:35:49.812 -> Photoresistor Raw Output = 253
16:35:49.892 -> Photoresistor Raw Output = 253
16:35:49.932 -> Photoresistor Raw Output = 253
16:35:49.972 -> Photoresistor Raw Output = 254
16:35:50.052 -> Photoresistor Raw Output = 254
16:35:50.092 -> Photoresistor Raw Output = 254
16:35:50.132 -> Photoresistor Raw Output = 253
16:35:50.172 -> Photoresistor Raw Output = 252
16:35:50.252 -> Photoresistor Raw Output = 260
16:35:50.292 -> Photoresistor Raw Output = 260
16:35:50.332 -> Photoresistor Raw Output = 259
16:35:50.372 -> Photoresistor Raw Output = 259
16:35:50.452 -> Photoresistor Raw Output = 260
16:35:50.492 -> Photoresistor Raw Output = 261
16:35:50.532 -> Photoresistor Raw Output = 262
16:35:50.572 -> Photoresistor Raw Output = 263
16:35:50.652 -> Photoresistor Raw Output = 264
16:35:50.692 -> Photoresistor Raw Output = 265
16:35:50.732 -> Photoresistor Raw Output = 266
16:35:50.772 -> Photoresistor Raw Output = 266
16:35:50.852 -> Photoresistor Raw Output = 266
16:35:50.892 -> Photoresistor Raw Output = 265
16:35:50.932 -> Photoresistor Raw Output = 264
16:35:50.972 -> Photoresistor Raw Output = 263
16:35:51.052 -> Photoresistor Raw Output = 262
16:35:51.092 -> Photoresistor Raw Output = 261
16:35:51.132 -> Photoresistor Raw Output = 261
16:35:51.213 -> Photoresistor Raw Output = 261
16:35:51.253 -> Photoresistor Raw Output = 261
16:35:51.293 -> Photoresistor Raw Output = 262
16:35:51.333 -> Photoresistor Raw Output = 262
16:35:51.413 -> Photoresistor Raw Output = 264
16:35:51.453 -> Photoresistor Raw Output = 265
16:35:51.493 -> Photoresistor Raw Output = 267
16:35:51.533 -> Photoresistor Raw Output = 267
16:35:51.613 -> Photoresistor Raw Output = 268
16:35:51.653 -> Photoresistor Raw Output = 269
16:35:51.693 -> Photoresistor Raw Output = 269
16:35:51.733 -> Photoresistor Raw Output = 269
16:35:51.813 -> Photoresistor Raw Output = 269
16:35:51.853 -> Photoresistor Raw Output = 269
16:35:51.893 -> Photoresistor Raw Output = 270
16:35:51.933 -> Photoresistor Raw Output = 270
16:35:52.013 -> Photoresistor Raw Output = 271
16:35:52.053 -> Photoresistor Raw Output = 273
16:35:52.093 -> Photoresistor Raw Output = 275
16:35:52.173 -> Photoresistor Raw Output = 278
16:35:52.213 -> Photoresistor Raw Output = 281
16:35:52.253 -> Photoresistor Raw Output = 285
16:35:52.293 -> Photoresistor Raw Output = 289
16:35:52.373 -> Photoresistor Raw Output = 293
16:35:52.413 -> Photoresistor Raw Output = 297
16:35:52.453 -> Photoresistor Raw Output = 300
16:35:52.493 -> Photoresistor Raw Output = 305
16:35:52.573 -> Photoresistor Raw Output = 309
16:35:52.613 -> Photoresistor Raw Output = 313
16:35:52.653 -> Photoresistor Raw Output = 317
16:35:52.693 -> Photoresistor Raw Output = 320
16:35:52.773 -> Photoresistor Raw Output = 324
16:35:52.813 -> Photoresistor Raw Output = 328
16:35:52.853 -> Photoresistor Raw Output = 331
16:35:52.933 -> Photoresistor Raw Output = 335
16:35:52.973 -> Photoresistor Raw Output = 340
16:35:53.013 -> Photoresistor Raw Output = 345
16:35:53.053 -> Photoresistor Raw Output = 350
16:35:53.133 -> Photoresistor Raw Output = 354
16:35:53.173 -> Photoresistor Raw Output = 358
16:35:53.213 -> Photoresistor Raw Output = 361
16:35:53.253 -> Photoresistor Raw Output = 363
16:35:53.333 -> Photoresistor Raw Output = 365
16:35:53.373 -> Photoresistor Raw Output = 367
16:35:53.413 -> Photoresistor Raw Output = 369
16:35:53.453 -> Photoresistor Raw Output = 371
16:35:53.533 -> Photoresistor Raw Output = 374
16:35:53.573 -> Photoresistor Raw Output = 377
16:35:53.613 -> Photoresistor Raw Output = 382
16:35:53.653 -> Photoresistor Raw Output = 387
16:35:53.733 -> Photoresistor Raw Output = 392
16:35:53.773 -> Photoresistor Raw Output = 398
16:35:53.813 -> Photoresistor Raw Output = 404
16:35:53.853 -> Photoresistor Raw Output = 409
16:35:53.933 -> Photoresistor Raw Output = 414
16:35:53.973 -> Photoresistor Raw Output = 418
16:35:54.013 -> Photoresistor Raw Output = 423
16:35:54.053 -> Photoresistor Raw Output = 427
16:35:54.133 -> Photoresistor Raw Output = 431
